DOWN,UP
ATCC64974_96270-T1,ATCC64974_16520-T1
ATCC64974_17880-T1,ATCC64974_105760-T1
ATCC64974_43050-T1,ATCC64974_23130-T1
ATCC64974_73820-T1,ATCC64974_52440-T1
ATCC64974_17870-T1,ATCC64974_70550-T1
ATCC64974_22900-T1,ATCC64974_13350-T1
ATCC64974_86870-T1,ATCC64974_50220-T1
ATCC64974_34610-T1,ATCC64974_27460-T1
ATCC64974_70860-T1,ATCC64974_30830-T1
ATCC64974_17890-T1,ATCC64974_100470-T1
ATCC64974_102730-T1,ATCC64974_21070-T1
ATCC64974_9850-T1,ATCC64974_15190-T1
ATCC64974_6380-T1,ATCC64974_98290-T1
ATCC64974_11040-T1,ATCC64974_36000-T1
ATCC64974_41210-T1,ATCC64974_3310-T1
ATCC64974_80040-T1,ATCC64974_62000-T1
ATCC64974_17840-T1,ATCC64974_14070-T1
ATCC64974_29500-T1,ATCC64974_14960-T1
ATCC64974_83460-T1,ATCC64974_19300-T1
ATCC64974_17810-T1,ATCC64974_25820-T1
ATCC64974_17860-T1,ATCC64974_57460-T1
ATCC64974_86860-T1,ATCC64974_14050-T1
ATCC64974_17850-T1,ATCC64974_18760-T1
ATCC64974_86850-T1,ATCC64974_105460-T1
ATCC64974_17910-T1,ATCC64974_90820-T1
ATCC64974_36710-T1,ATCC64974_83040-T1
ATCC64974_96240-T1,ATCC64974_36040-T1
ATCC64974_63280-T1,ATCC64974_38240-T1
ATCC64974_7460-T1,ATCC64974_41320-T1
ATCC64974_83510-T1,ATCC64974_2980-T1
ATCC64974_16420-T1,ATCC64974_75490-T1
ATCC64974_10280-T1,ATCC64974_91100-T1
ATCC64974_29490-T1,ATCC64974_31780-T1
ATCC64974_75440-T1,ATCC64974_74340-T1
ATCC64974_63700-T1,ATCC64974_62560-T1
ATCC64974_43100-T1,ATCC64974_1440-T1
ATCC64974_98940-T1,ATCC64974_52630-T1
ATCC64974_83600-T1,ATCC64974_34810-T1
ATCC64974_109750-T1,ATCC64974_50070-T1
ATCC64974_56240-T1,ATCC64974_56700-T1
ATCC64974_47190-T1,ATCC64974_15280-T1
ATCC64974_22000-T1,ATCC64974_48800-T1
ATCC64974_78710-T1,ATCC64974_99650-T1
ATCC64974_83530-T1,ATCC64974_65180-T1
ATCC64974_29880-T1,ATCC64974_78200-T1
ATCC64974_83480-T1,ATCC64974_101310-T1
ATCC64974_83540-T1,ATCC64974_28350-T1
ATCC64974_28950-T1,ATCC64974_65910-T1
ATCC64974_111440-T1,ATCC64974_111070-T1
ATCC64974_32550-T1,ATCC64974_109540-T1
ATCC64974_26410-T1,ATCC64974_16750-T1
ATCC64974_2750-T1,ATCC64974_57830-T1
ATCC64974_109730-T1,ATCC64974_61210-T1
ATCC64974_45730-T1,ATCC64974_30270-T1
ATCC64974_29470-T1,ATCC64974_95770-T1
ATCC64974_25300-T1,ATCC64974_108150-T1
ATCC64974_83470-T1,ATCC64974_53790-T1
ATCC64974_34180-T1,ATCC64974_25090-T1
ATCC64974_9520-T1,ATCC64974_28860-T1
ATCC64974_29480-T1,ATCC64974_94270-T1
ATCC64974_58800-T1,ATCC64974_26180-T1
ATCC64974_96260-T1,ATCC64974_50030-T1
ATCC64974_29560-T1,ATCC64974_103630-T1
ATCC64974_107400-T1,ATCC64974_25400-T1
ATCC64974_29610-T1,ATCC64974_73140-T1
ATCC64974_55910-T1,ATCC64974_76220-T1
ATCC64974_86910-T1,ATCC64974_33090-T1
ATCC64974_84500-T1,ATCC64974_7760-T1
ATCC64974_43110-T1,ATCC64974_103660-T1
ATCC64974_105230-T1,ATCC64974_95410-T1
ATCC64974_9510-T1,ATCC64974_8370-T1
ATCC64974_28940-T1,ATCC64974_33470-T1
ATCC64974_26110-T1,ATCC64974_49190-T1
ATCC64974_25850-T1,ATCC64974_95080-T1
ATCC64974_96280-T1,ATCC64974_75950-T1
ATCC64974_89900-T1,ATCC64974_35320-T1
ATCC64974_84510-T1,ATCC64974_10970-T1
ATCC64974_36480-T1,ATCC64974_28630-T1
ATCC64974_1230-T1,ATCC64974_6760-T1
ATCC64974_36130-T1,ATCC64974_83390-T1
ATCC64974_98870-T1,ATCC64974_10490-T1
ATCC64974_44160-T1,ATCC64974_710-T1
ATCC64974_10140-T1,ATCC64974_88740-T1
ATCC64974_42000-T1,ATCC64974_17180-T1
ATCC64974_21320-T1,ATCC64974_102000-T1
ATCC64974_88650-T1,ATCC64974_70340-T1
ATCC64974_88960-T1,ATCC64974_26960-T1
ATCC64974_59040-T1,ATCC64974_53660-T1
ATCC64974_38440-T1,ATCC64974_109070-T1
ATCC64974_96220-T1,ATCC64974_107280-T1
ATCC64974_78720-T1,ATCC64974_51200-T1
ATCC64974_83550-T1,ATCC64974_63020-T1
ATCC64974_10150-T1,ATCC64974_89280-T1
ATCC64974_9530-T1,ATCC64974_14170-T1
ATCC64974_75430-T1,ATCC64974_69010-T1
ATCC64974_83690-T1,ATCC64974_57500-T1
ATCC64974_13630-T1,ATCC64974_35330-T1
ATCC64974_89690-T1,ATCC64974_32480-T1
ATCC64974_70520-T1,ATCC64974_69440-T1
ATCC64974_78760-T1,ATCC64974_38270-T1
ATCC64974_9610-T1,ATCC64974_62600-T1
ATCC64974_31100-T1,ATCC64974_69060-T1
ATCC64974_58970-T1,ATCC64974_51030-T1
ATCC64974_59620-T1,ATCC64974_84140-T1
ATCC64974_55920-T1,ATCC64974_14640-T1
ATCC64974_11220-T1,ATCC64974_106980-T1
ATCC64974_30970-T1,ATCC64974_38000-T1
ATCC64974_48860-T1,ATCC64974_55210-T1
ATCC64974_109130-T1,ATCC64974_91460-T1
ATCC64974_99950-T1,ATCC64974_61790-T1
ATCC64974_36120-T1,ATCC64974_15150-T1
ATCC64974_99050-T1,ATCC64974_40170-T1
ATCC64974_28540-T1,ATCC64974_32630-T1
ATCC64974_7980-T1,ATCC64974_68890-T1
ATCC64974_16390-T1,ATCC64974_69740-T1
ATCC64974_51870-T1,ATCC64974_71740-T1
ATCC64974_98840-T1,ATCC64974_40510-T1
ATCC64974_111430-T1,ATCC64974_84940-T1
ATCC64974_78580-T1,ATCC64974_62830-T1
ATCC64974_71580-T1,ATCC64974_18370-T1
ATCC64974_9240-T1,ATCC64974_70080-T1
ATCC64974_15250-T1,ATCC64974_52820-T1
ATCC64974_25190-T1,ATCC64974_14680-T1
ATCC64974_11150-T1,ATCC64974_71760-T1
ATCC64974_83980-T1,ATCC64974_66390-T1
ATCC64974_83490-T1,ATCC64974_46200-T1
ATCC64974_44170-T1,ATCC64974_66550-T1
ATCC64974_16090-T1,ATCC64974_59640-T1
ATCC64974_10930-T1,ATCC64974_32240-T1
ATCC64974_98960-T1,ATCC64974_82640-T1
ATCC64974_96250-T1,ATCC64974_990-T1
ATCC64974_43120-T1,ATCC64974_87440-T1
ATCC64974_44090-T1,ATCC64974_74820-T1
ATCC64974_59760-T1,ATCC64974_110280-T1
ATCC64974_82730-T1,ATCC64974_15720-T1
ATCC64974_10920-T1,ATCC64974_61070-T1
ATCC64974_102640-T1,ATCC64974_77490-T1
ATCC64974_76120-T1,ATCC64974_19740-T1
ATCC64974_59290-T1,ATCC64974_104440-T1
ATCC64974_75960-T1,ATCC64974_74730-T1
ATCC64974_22880-T1,ATCC64974_111060-T1
ATCC64974_96770-T1,ATCC64974_102020-T1
ATCC64974_25670-T1,ATCC64974_70580-T1
ATCC64974_43630-T1,ATCC64974_110940-T1
ATCC64974_86880-T1,ATCC64974_66160-T1
ATCC64974_59300-T1,ATCC64974_37500-T1
ATCC64974_26870-T1,ATCC64974_94720-T1
ATCC64974_110600-T1,ATCC64974_27400-T1
ATCC64974_93590-T1,ATCC64974_13280-T1
ATCC64974_33820-T1,ATCC64974_21350-T1
ATCC64974_58960-T1,ATCC64974_34990-T1
ATCC64974_1210-T1,ATCC64974_54410-T1
ATCC64974_72060-T1,ATCC64974_250-T1
ATCC64974_80490-T1,ATCC64974_68010-T1
ATCC64974_24870-T1,ATCC64974_38990-T1
ATCC64974_93020-T1,ATCC64974_63340-T1
ATCC64974_25280-T1,ATCC64974_70070-T1
ATCC64974_99940-T1,ATCC64974_90420-T1
ATCC64974_101490-T1,ATCC64974_66720-T1
ATCC64974_110460-T1,ATCC64974_49900-T1
ATCC64974_99240-T1,ATCC64974_91110-T1
ATCC64974_72830-T1,ATCC64974_60460-T1
ATCC64974_78770-T1,ATCC64974_101560-T1
ATCC64974_83930-T1,ATCC64974_20090-T1
ATCC64974_24270-T1,ATCC64974_33570-T1
ATCC64974_67470-T1,ATCC64974_88280-T1
ATCC64974_110530-T1,ATCC64974_61600-T1
ATCC64974_10610-T1,ATCC64974_99720-T1
ATCC64974_31190-T1,ATCC64974_30070-T1
ATCC64974_63690-T1,ATCC64974_50610-T1
ATCC64974_38640-T1,ATCC64974_14900-T1
ATCC64974_26220-T1,ATCC64974_83630-T1
ATCC64974_73330-T1,ATCC64974_64080-T1
ATCC64974_29650-T1,ATCC64974_80550-T1
ATCC64974_72710-T1,ATCC64974_107420-T1
ATCC64974_74960-T1,ATCC64974_94930-T1
ATCC64974_37080-T1,ATCC64974_79630-T1
ATCC64974_107550-T1,ATCC64974_71040-T1
ATCC64974_35950-T1,ATCC64974_89350-T1
ATCC64974_17900-T1,ATCC64974_62900-T1
ATCC64974_30020-T1,ATCC64974_104900-T1
ATCC64974_40580-T1,ATCC64974_108240-T1
ATCC64974_43600-T1,ATCC64974_103060-T1
ATCC64974_38020-T1,ATCC64974_107160-T1
ATCC64974_13100-T1,ATCC64974_48440-T1
ATCC64974_72070-T1,ATCC64974_90990-T1
ATCC64974_59630-T1,ATCC64974_98390-T1
ATCC64974_98950-T1,ATCC64974_4600-T1
ATCC64974_89870-T1,ATCC64974_10-T1
ATCC64974_109230-T1,ATCC64974_9160-T1
ATCC64974_34190-T1,ATCC64974_8980-T1
ATCC64974_10010-T1,ATCC64974_67870-T1
ATCC64974_7100-T1,ATCC64974_53610-T1
ATCC64974_5740-T1,ATCC64974_88470-T1
ATCC64974_36650-T1,ATCC64974_9010-T1
ATCC64974_98110-T1,ATCC64974_84920-T1
ATCC64974_43140-T1,ATCC64974_73430-T1
ATCC64974_63550-T1,ATCC64974_59570-T1
ATCC64974_34120-T1,ATCC64974_106120-T1
ATCC64974_43660-T1,ATCC64974_88970-T1
ATCC64974_6210-T1,ATCC64974_23070-T1
ATCC64974_14820-T1,ATCC64974_49550-T1
ATCC64974_76110-T1,ATCC64974_57230-T1
ATCC64974_26990-T1,ATCC64974_82880-T1
ATCC64974_29740-T1,ATCC64974_72600-T1
ATCC64974_88660-T1,ATCC64974_60560-T1
ATCC64974_69710-T1,ATCC64974_94030-T1
ATCC64974_73220-T1,ATCC64974_19830-T1
ATCC64974_6580-T1,ATCC64974_11090-T1
ATCC64974_25900-T1,ATCC64974_58540-T1
ATCC64974_78140-T1,ATCC64974_69350-T1
ATCC64974_43640-T1,ATCC64974_52870-T1
ATCC64974_53750-T1,ATCC64974_105160-T1
ATCC64974_36920-T1,ATCC64974_89510-T1
ATCC64974_55680-T1,ATCC64974_20800-T1
ATCC64974_33350-T1,ATCC64974_79130-T1
ATCC64974_25550-T1,ATCC64974_21690-T1
ATCC64974_82460-T1,ATCC64974_75330-T1
ATCC64974_55890-T1,ATCC64974_21990-T1
ATCC64974_42690-T1,ATCC64974_107520-T1
ATCC64974_75870-T1,ATCC64974_107200-T1
ATCC64974_43750-T1,ATCC64974_23950-T1
ATCC64974_30450-T1,ATCC64974_63010-T1
ATCC64974_83860-T1,ATCC64974_109200-T1
ATCC64974_63330-T1,ATCC64974_47720-T1
ATCC64974_102400-T1,ATCC64974_61270-T1
ATCC64974_29600-T1,ATCC64974_2890-T1
ATCC64974_64560-T1,ATCC64974_90030-T1
ATCC64974_44190-T1,ATCC64974_61410-T1
ATCC64974_64070-T1,ATCC64974_13670-T1
ATCC64974_16400-T1,ATCC64974_64970-T1
ATCC64974_59010-T1,ATCC64974_20480-T1
ATCC64974_30940-T1,ATCC64974_9780-T1
ATCC64974_79370-T1,ATCC64974_85950-T1
ATCC64974_41220-T1,ATCC64974_65940-T1
ATCC64974_108490-T1,ATCC64974_10600-T1
ATCC64974_76150-T1,ATCC64974_8420-T1
ATCC64974_29730-T1,ATCC64974_39240-T1
ATCC64974_40940-T1,ATCC64974_74370-T1
ATCC64974_55670-T1,ATCC64974_69760-T1
ATCC64974_86260-T1,ATCC64974_107920-T1
ATCC64974_106050-T1,ATCC64974_106510-T1
ATCC64974_43130-T1,ATCC64974_5120-T1
ATCC64974_75450-T1,ATCC64974_44930-T1
ATCC64974_22010-T1,ATCC64974_79530-T1
ATCC64974_111290-T1,ATCC64974_110690-T1
ATCC64974_49400-T1,ATCC64974_52700-T1
ATCC64974_86900-T1,ATCC64974_27900-T1
ATCC64974_7250-T1,ATCC64974_90660-T1
ATCC64974_6830-T1,ATCC64974_20650-T1
ATCC64974_71170-T1,ATCC64974_24540-T1
ATCC64974_102680-T1,ATCC64974_64370-T1
ATCC64974_92880-T1,ATCC64974_92750-T1
ATCC64974_6200-T1,ATCC64974_85370-T1
ATCC64974_7970-T1,ATCC64974_15170-T1
ATCC64974_99170-T1,ATCC64974_102920-T1
ATCC64974_63270-T1,ATCC64974_107060-T1
ATCC64974_88730-T1,ATCC64974_20370-T1
ATCC64974_38300-T1,ATCC64974_76690-T1
ATCC64974_84020-T1,ATCC64974_106710-T1
ATCC64974_27020-T1,ATCC64974_46220-T1
ATCC64974_14770-T1,ATCC64974_94450-T1
ATCC64974_42290-T1,ATCC64974_32600-T1
ATCC64974_83940-T1,ATCC64974_76440-T1
ATCC64974_93000-T1,ATCC64974_18400-T1
ATCC64974_25180-T1,ATCC64974_52460-T1
ATCC64974_21450-T1,ATCC64974_44420-T1
ATCC64974_89830-T1,ATCC64974_93850-T1
ATCC64974_25840-T1,ATCC64974_57700-T1
ATCC64974_83520-T1,ATCC64974_32000-T1
ATCC64974_14330-T1,ATCC64974_44260-T1
ATCC64974_16310-T1,ATCC64974_97940-T1
ATCC64974_26880-T1,ATCC64974_26570-T1
ATCC64974_36610-T1,ATCC64974_80640-T1
ATCC64974_96110-T1,ATCC64974_9370-T1
ATCC64974_44490-T1,ATCC64974_78560-T1
ATCC64974_44200-T1,ATCC64974_53250-T1
ATCC64974_21210-T1,ATCC64974_32490-T1
ATCC64974_23030-T1,ATCC64974_23410-T1
ATCC64974_75410-T1,ATCC64974_25270-T1
ATCC64974_94360-T1,ATCC64974_95260-T1
ATCC64974_97370-T1,ATCC64974_4610-T1
ATCC64974_59460-T1,ATCC64974_39950-T1
ATCC64974_26500-T1,ATCC64974_39100-T1
ATCC64974_11290-T1,ATCC64974_20860-T1
ATCC64974_31150-T1,ATCC64974_35880-T1
ATCC64974_1120-T1,ATCC64974_18280-T1
ATCC64974_46460-T1,ATCC64974_40070-T1
ATCC64974_103980-T1,ATCC64974_38430-T1
ATCC64974_58100-T1,ATCC64974_97690-T1
ATCC64974_62530-T1,ATCC64974_62370-T1
ATCC64974_93150-T1,ATCC64974_39640-T1
ATCC64974_54550-T1,ATCC64974_15010-T1
ATCC64974_86330-T1,ATCC64974_20400-T1
ATCC64974_27290-T1,ATCC64974_102470-T1
ATCC64974_91030-T1,ATCC64974_58550-T1
ATCC64974_29580-T1,ATCC64974_42790-T1
ATCC64974_80500-T1,ATCC64974_53280-T1
ATCC64974_47320-T1,ATCC64974_1160-T1
ATCC64974_25510-T1,ATCC64974_51540-T1
ATCC64974_43360-T1,ATCC64974_62270-T1
ATCC64974_2850-T1,ATCC64974_17700-T1
ATCC64974_85210-T1,ATCC64974_45180-T1
ATCC64974_55900-T1,ATCC64974_100630-T1
ATCC64974_58890-T1,ATCC64974_30060-T1
ATCC64974_31120-T1,ATCC64974_44990-T1
ATCC64974_91650-T1,ATCC64974_92170-T1
ATCC64974_71560-T1,ATCC64974_4120-T1
ATCC64974_26480-T1,ATCC64974_106720-T1
ATCC64974_28050-T1,ATCC64974_56970-T1
ATCC64974_24850-T1,ATCC64974_33000-T1
ATCC64974_11840-T1,ATCC64974_83990-T1
ATCC64974_3710-T1,ATCC64974_70840-T1
ATCC64974_110550-T1,ATCC64974_12170-T1
ATCC64974_42860-T1,ATCC64974_55050-T1
ATCC64974_22210-T1,ATCC64974_27870-T1
ATCC64974_22180-T1,ATCC64974_83720-T1
ATCC64974_25210-T1,ATCC64974_17630-T1
ATCC64974_22200-T1,ATCC64974_82020-T1
ATCC64974_47330-T1,ATCC64974_55100-T1
ATCC64974_63840-T1,ATCC64974_3960-T1
ATCC64974_72820-T1,ATCC64974_68260-T1
ATCC64974_38310-T1,ATCC64974_9690-T1
ATCC64974_93140-T1,ATCC64974_68850-T1
ATCC64974_73470-T1,ATCC64974_47870-T1
ATCC64974_84190-T1,ATCC64974_32110-T1
ATCC64974_85440-T1,ATCC64974_92180-T1
ATCC64974_99880-T1,ATCC64974_109360-T1
ATCC64974_15610-T1,ATCC64974_1600-T1
ATCC64974_86770-T1,ATCC64974_101690-T1
ATCC64974_11480-T1,ATCC64974_97980-T1
ATCC64974_74790-T1,ATCC64974_89580-T1
ATCC64974_1260-T1,ATCC64974_44790-T1
ATCC64974_85130-T1,ATCC64974_106400-T1
ATCC64974_43170-T1,ATCC64974_81010-T1
ATCC64974_108990-T1,ATCC64974_13620-T1
ATCC64974_42550-T1,ATCC64974_97960-T1
ATCC64974_72310-T1,ATCC64974_95190-T1
ATCC64974_2360-T1,ATCC64974_16740-T1
ATCC64974_59310-T1,ATCC64974_60600-T1
ATCC64974_37240-T1,ATCC64974_32650-T1
ATCC64974_33830-T1,ATCC64974_1950-T1
ATCC64974_27170-T1,ATCC64974_100380-T1
ATCC64974_36930-T1,ATCC64974_32860-T1
ATCC64974_16080-T1,ATCC64974_77680-T1
ATCC64974_93830-T1,ATCC64974_41020-T1
ATCC64974_22170-T1,ATCC64974_57540-T1
ATCC64974_81670-T1,ATCC64974_63780-T1
ATCC64974_10000-T1,ATCC64974_30210-T1
ATCC64974_24260-T1,ATCC64974_8190-T1
ATCC64974_81960-T1,ATCC64974_61760-T1
ATCC64974_109740-T1,ATCC64974_68500-T1
ATCC64974_109760-T1,ATCC64974_23000-T1
ATCC64974_71570-T1,ATCC64974_95450-T1
ATCC64974_62820-T1,ATCC64974_71390-T1
ATCC64974_41680-T1,ATCC64974_89370-T1
ATCC64974_79070-T1,ATCC64974_16680-T1
ATCC64974_63900-T1,ATCC64974_59180-T1
ATCC64974_27160-T1,ATCC64974_73960-T1
ATCC64974_102810-T1,ATCC64974_68050-T1
ATCC64974_64660-T1,ATCC64974_71860-T1
ATCC64974_33810-T1,ATCC64974_60050-T1
ATCC64974_104000-T1,ATCC64974_3380-T1
ATCC64974_74950-T1,ATCC64974_58740-T1
ATCC64974_16440-T1,ATCC64974_55070-T1
ATCC64974_93330-T1,ATCC64974_54180-T1
ATCC64974_79190-T1,ATCC64974_52930-T1
ATCC64974_74200-T1,ATCC64974_92110-T1
ATCC64974_42310-T1,ATCC64974_35440-T1
ATCC64974_38320-T1,ATCC64974_97950-T1
ATCC64974_75400-T1,ATCC64974_29340-T1
ATCC64974_102240-T1,ATCC64974_98160-T1
ATCC64974_72840-T1,ATCC64974_69950-T1
ATCC64974_43400-T1,ATCC64974_68560-T1
ATCC64974_4640-T1,ATCC64974_2320-T1
ATCC64974_79060-T1,ATCC64974_70750-T1
ATCC64974_83250-T1,ATCC64974_87570-T1
ATCC64974_25220-T1,ATCC64974_3670-T1
ATCC64974_43340-T1,ATCC64974_67040-T1
ATCC64974_75060-T1,ATCC64974_78010-T1
ATCC64974_88640-T1,ATCC64974_73660-T1
ATCC64974_99310-T1,ATCC64974_53480-T1
ATCC64974_82810-T1,ATCC64974_56480-T1
ATCC64974_5900-T1,ATCC64974_101060-T1
ATCC64974_59060-T1,ATCC64974_60430-T1
ATCC64974_72290-T1,ATCC64974_33460-T1
ATCC64974_106070-T1,ATCC64974_88710-T1
ATCC64974_21540-T1,ATCC64974_74150-T1
ATCC64974_90130-T1,ATCC64974_45070-T1
ATCC64974_25370-T1,ATCC64974_51120-T1
ATCC64974_59890-T1,ATCC64974_109990-T1
ATCC64974_87140-T1,ATCC64974_38170-T1
ATCC64974_26840-T1,ATCC64974_60670-T1
ATCC64974_22140-T1,ATCC64974_14510-T1
ATCC64974_43620-T1,ATCC64974_62010-T1
ATCC64974_82470-T1,ATCC64974_65030-T1
ATCC64974_105990-T1,ATCC64974_96160-T1
ATCC64974_76160-T1,ATCC64974_14240-T1
ATCC64974_67330-T1,ATCC64974_92300-T1
ATCC64974_42870-T1,ATCC64974_78410-T1
ATCC64974_22480-T1,ATCC64974_90800-T1
ATCC64974_54620-T1,ATCC64974_106700-T1
ATCC64974_92490-T1,ATCC64974_25540-T1
ATCC64974_43350-T1,ATCC64974_42560-T1
ATCC64974_69500-T1,ATCC64974_39060-T1
ATCC64974_65350-T1,ATCC64974_27910-T1
ATCC64974_39680-T1,ATCC64974_58180-T1
ATCC64974_44950-T1,ATCC64974_110010-T1
ATCC64974_30470-T1,ATCC64974_29890-T1
ATCC64974_25680-T1,ATCC64974_5270-T1
ATCC64974_34220-T1,ATCC64974_23920-T1
ATCC64974_46040-T1,ATCC64974_32680-T1
ATCC64974_44040-T1,ATCC64974_87680-T1
ATCC64974_25200-T1,ATCC64974_77040-T1
ATCC64974_12660-T1,ATCC64974_106290-T1
ATCC64974_62810-T1,ATCC64974_89260-T1
ATCC64974_36160-T1,ATCC64974_79840-T1
ATCC64974_105380-T1,ATCC64974_22990-T1
ATCC64974_78670-T1,ATCC64974_61010-T1
ATCC64974_85910-T1,ATCC64974_27250-T1
ATCC64974_4400-T1,ATCC64974_9590-T1
ATCC64974_76920-T1,ATCC64974_8170-T1
ATCC64974_58990-T1,ATCC64974_12280-T1
ATCC64974_98850-T1,ATCC64974_18860-T1
ATCC64974_65090-T1,ATCC64974_67860-T1
ATCC64974_110650-T1,ATCC64974_37290-T1
ATCC64974_10020-T1,ATCC64974_81320-T1
ATCC64974_30460-T1,ATCC64974_23610-T1
ATCC64974_97380-T1,ATCC64974_60170-T1
ATCC64974_107530-T1,ATCC64974_50680-T1
ATCC64974_39530-T1,ATCC64974_77690-T1
ATCC64974_18800-T1,ATCC64974_72460-T1
ATCC64974_29690-T1,ATCC64974_105020-T1
